cas,chemical_name,wave,original_selection_status,selection_source,true_cameo_groups,sole_group_of,section10_categories,section10_has_real_evidence,signature_peer_count,signature_rank,unique_risk_pair_types,safety_flag,in_eval_testset_FYI_NOT_USED_IN_DECISION,recommendation,reason
2893-78-9,SODIUM DICHLORO-S-TRIAZINETRIONE,wave2,DUPLICATE,wave2_expansion,7;32;50;60,,no_data,False,2,rank_2_of_3,0,NOT_CHECKED,False,REMOVE_CANDIDATE,"동일 true_groups=(7, 32, 50, 60) 물질 3종 중 2순위 + §10 실질근거 없음 — 제거해도 coverage 손실 없음"
3811-04-9,POTASSIUM CHLORATE,wave2,REVIEW,wave2_expansion,50;68,,combustible_reducing;water,True,2,rank_1_of_3,0,NOT_CHECKED,False,KEEP_EMPIRICAL,"동일 true_groups=(50, 68) 물질 3종 중 §10 근거 최상위(자기 근거 ['combustible_reducing', 'water'])"
507-40-4,TERT-BUTYL HYPOCHLORITE,wave2,DUPLICATE,wave2_expansion,50,,,False,29,rank_26_of_30,0,NOT_CHECKED,False,REMOVE_CANDIDATE,"동일 true_groups=(50,) 물질 30종 중 26순위 + §10 실질근거 없음 — 제거해도 coverage 손실 없음"
546-67-8,LEAD TETRAACETATE,wave2,DUPLICATE,wave2_expansion,50,,no_data,False,29,rank_27_of_30,0,NOT_CHECKED,False,REMOVE_CANDIDATE,"동일 true_groups=(50,) 물질 30종 중 27순위 + §10 실질근거 없음 — 제거해도 coverage 손실 없음"
7446-08-4,SELENIUM DIOXIDE,wave2,DUPLICATE,wave2_expansion,50,,combustible_reducing;metal;water,True,29,rank_2_of_30,0,NOT_CHECKED,False,MERGE_CANDIDATE,"동일 true_groups=(50,) 물질 30종 중 2순위 — 자기 §10 근거는 있으나 상위 대표물질과 중복, 통합 검토 대상"
7601-89-0,SODIUM PERCHLORATE,wave2,DUPLICATE,wave2_expansion,50,,combustible_reducing;water,True,29,rank_15_of_30,0,NOT_CHECKED,False,MERGE_CANDIDATE,"동일 true_groups=(50,) 물질 30종 중 15순위 — 자기 §10 근거는 있으나 상위 대표물질과 중복, 통합 검토 대상"
7727-21-1,POTASSIUM PERSULFATE,wave2,DUPLICATE,wave2_expansion,50,,combustible_reducing;water,True,29,rank_16_of_30,0,NOT_CHECKED,False,MERGE_CANDIDATE,"동일 true_groups=(50,) 물질 30종 중 16순위 — 자기 §10 근거는 있으나 상위 대표물질과 중복, 통합 검토 대상"
7727-54-0,AMMONIUM PERSULFATE,wave2,DUPLICATE,wave2_expansion,50;60,,combustible_reducing;water,True,4,rank_2_of_5,0,NOT_CHECKED,False,MERGE_CANDIDATE,"동일 true_groups=(50, 60) 물질 5종 중 2순위 — 자기 §10 근거는 있으나 상위 대표물질과 중복, 통합 검토 대상"
7758-01-2,POTASSIUM BROMATE,wave2,DUPLICATE,wave2_expansion,50,,combustible_reducing;water,True,29,rank_17_of_30,0,NOT_CHECKED,False,MERGE_CANDIDATE,"동일 true_groups=(50,) 물질 30종 중 17순위 — 자기 §10 근거는 있으나 상위 대표물질과 중복, 통합 검토 대상"
7758-19-2,SODIUM CHLORITE,wave2,DUPLICATE,wave2_expansion,50;61,,combustible_reducing;water,True,15,rank_10_of_16,0,NOT_CHECKED,False,MERGE_CANDIDATE,"동일 true_groups=(50, 61) 물질 16종 중 10순위 — 자기 §10 근거는 있으나 상위 대표물질과 중복, 통합 검토 대상"
7758-97-6,LEAD CHROMATE,wave2,DUPLICATE,wave2_expansion,50;61,,combustible_reducing;metal;water,True,15,rank_2_of_16,0,NOT_CHECKED,False,MERGE_CANDIDATE,"동일 true_groups=(50, 61) 물질 16종 중 2순위 — 자기 §10 근거는 있으나 상위 대표물질과 중복, 통합 검토 대상"
7775-09-9,SODIUM CHLORATE,wave2,DUPLICATE,wave2_expansion,50;68,,combustible_reducing;water,True,2,rank_2_of_3,0,NOT_CHECKED,False,MERGE_CANDIDATE,"동일 true_groups=(50, 68) 물질 3종 중 2순위 — 자기 §10 근거는 있으나 상위 대표물질과 중복, 통합 검토 대상"
7775-11-3,SODIUM CHROMATE,wave2,DUPLICATE,wave2_expansion,50;61;68,,no_data,False,2,rank_3_of_3,0,NOT_CHECKED,False,REMOVE_CANDIDATE,"동일 true_groups=(50, 61, 68) 물질 3종 중 3순위 + §10 실질근거 없음 — 제거해도 coverage 손실 없음"
7775-27-1,SODIUM PERSULFATE,wave2,DUPLICATE,wave2_expansion,50,,combustible_reducing;water,True,29,rank_18_of_30,0,NOT_CHECKED,False,MERGE_CANDIDATE,"동일 true_groups=(50,) 물질 30종 중 18순위 — 자기 §10 근거는 있으나 상위 대표물질과 중복, 통합 검토 대상"
7778-50-9,POTASSIUM BICHROMATE,wave2,DUPLICATE,wave2_expansion,50;61,,no_data,False,15,rank_15_of_16,0,NOT_CHECKED,False,REMOVE_CANDIDATE,"동일 true_groups=(50, 61) 물질 16종 중 15순위 + §10 실질근거 없음 — 제거해도 coverage 손실 없음"
7778-54-3,CALCIUM HYPOCHLORITE,wave2,REVIEW,wave2_expansion,18;50;61;68,,combustible_reducing;water,True,0,unique_signature_no_duplicate,0,NOT_CHECKED,False,KEEP_EMPIRICAL,"true_groups 조합 (18, 50, 61, 68)이 dataset 내 유일(중복 없음) + 자기 §10 실질근거(['combustible_reducing', 'water'])"
