cas_number,chemical_name,group_id,group_name,source,course,experiment
7722-84-1,HYDROGEN PEROXIDE,50,"Oxidizing Agents, Strong",curated_curriculum,일반화학,산화환원반응(자기반응성 주의)
7727-37-9,NITROGEN,48,Not Chemically Reactive agents,reactive_basics_tier1,,
7732-18-5,WATER,68,Water and Aqueous Solutions,reactive_basics_tier1,,
7758-94-3,"FERROUS CHLORIDE, SOLID",58,"Reducing Agents, Strong",reaction_frequency_high,,
7758-98-7,CUPRIC SULFATE,60,"Salts, Acidic",curated_curriculum,분석화학,착물형성/전기화학
7761-88-8,SILVER NITRATE,43,"Nitrate and Nitrite Compounds, Inorganic",curated_curriculum,분석화학,침전적정(할로겐 정량)
7772-98-7,SODIUM THIOSULFATE,65,Sulfite and Thiosulfate Salts,curated_curriculum,분석화학,요오드 적정 환원제
7774-29-0,MERCURY IODIDE,42,"Metals, Less Reactive agents",reaction_frequency_high,,
7778-39-4,"ARSENIC ACID, LIQUID",51,"Oxidizing Agents, Weak",reaction_frequency_high,,
7778-54-3,CALCIUM HYPOCHLORITE,50,"Oxidizing Agents, Strong",reaction_frequency_high,,
7778-66-7,POTASSIUM HYPOCHLORITE SOLUTION,50,"Oxidizing Agents, Strong",reaction_frequency_high,,
7782-42-5,GRAPHITE (NATURAL),59,"Reducing Agents, Weak",reaction_frequency_high,,
7782-44-7,OXYGEN,50,"Oxidizing Agents, Strong",reactive_basics_tier1,,
7783-00-8,SELENIOUS ACID,50,"Oxidizing Agents, Strong",reaction_frequency_high,,
7783-47-3,STANNOUS FLUORIDE,58,"Reducing Agents, Strong",reaction_frequency_high,,
7783-56-4,ANTIMONY TRIFLUORIDE,50,"Oxidizing Agents, Strong",reaction_frequency_high,,
7786-81-4,NICKEL SULFATE,60,"Salts, Acidic",curated_curriculum,무기화학,착물합성
7789-60-8,PHOSPHORUS TRIBROMIDE,58,"Reducing Agents, Strong",reaction_frequency_high,,
78-11-5,PENTAERYTHRITE TETRANITRATE,68,Water and Aqueous Solutions,reaction_frequency_high,,
7803-55-6,AMMONIUM METAVANADATE,51,"Oxidizing Agents, Weak",reaction_frequency_high,,
79-06-1,ACRYLAMIDE,68,Water and Aqueous Solutions,reaction_frequency_high,,
82-71-3,TRINITRORESORCINOL,68,Water and Aqueous Solutions,reaction_frequency_high,,
831-52-7,SODIUM PICRAMATE,68,Water and Aqueous Solutions,reaction_frequency_high,,
88-89-1,"PICRIC ACID, WETTED WITH NOT LESS THAN 30% WATER BY MASS",68,Water and Aqueous Solutions,reaction_frequency_high,,
924-42-5,N-METHYLOLACRYLAMIDE,68,Water and Aqueous Solutions,reaction_frequency_high,,
96-91-3,"2-AMINO-4,6-DINITROPHENOL",68,Water and Aqueous Solutions,reaction_frequency_high,,
99-35-4,"TRINITROBENZENE, WETTED WITH NOT LESS THAN 30% WATER",68,Water and Aqueous Solutions,reaction_frequency_high,,
998-40-3,TRIBUTYLPHOSPHANE,59,"Reducing Agents, Weak",reaction_frequency_high,,
