cas_number,chemical_name,expected_group,pubchem_cid,pubchem_groups,status
105-79-3,Isobutyl hexanoate,"Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters",7775,"Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters",MATCH
102-16-9,BENZYL PHENYLACETATE,"Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters",60999,"Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters",MATCH
103-09-3,ETHYLHEXYL ACETATE,"Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters",7635,"Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters",MATCH
103-23-1,BIS(2-ETHYLHEXYL) ADIPATE,"Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters",7641,"Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters",MATCH
1031-07-8,ENDOSULFAN SULFATE,"Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters",13940,"Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters;Halogenated Organic Compounds;Hydrocarbons, Aliphatic Unsaturated",MATCH
1031-47-6,TRIAMIPHOS,"Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters",13943,"Amines, Phosphines, and Pyridines;Azo, Diazo, Azido, Hydrazine, and Azide Compounds;Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters",MATCH
60-29-7,ETHYL ETHER,Ethers,3283,Ethers,MATCH
104-46-1,아네토레,Ethers,637563,"Ethers;Hydrocarbons, Aliphatic Unsaturated",MATCH
109-59-1,이소프로폭시에탄올,Ethers,7996,Alcohols and Polyols;Ethers,MATCH
101-80-4,"4,4&#39;-DIAMINODIPHENYL ETHER",Ethers,7579,"Amines, Aromatic;Ethers",MATCH
108-60-1,비스(2-클로로아이소프로필)에테르,Ethers,7944,Ethers;Halogenated Organic Compounds,MATCH
103-50-4,DIBENZYL ETHER,Ethers,7657,Ethers,MATCH
109-53-5,아이소뷰틸 비닐 에테르,Ethers,7992,"Ethers;Hydrocarbons, Aliphatic Unsaturated;Polymerizable Compounds",MATCH
12125-01-8,AMMONIUM FLUORIDE,"Fluoride Salts, Soluble",25516,"Fluoride Salts, Soluble;Salts, Acidic",MATCH
1333-83-1,"SODIUM BIFLUORIDE, SOLID","Fluoride Salts, Soluble",219061,"Fluoride Salts, Soluble;Salts, Acidic;Water and Aqueous Solutions",MATCH
121-17-5,4-클로로-3-나이트로벤조트리플루오르화물,Fluorinated Organic Compounds,8462,"Aryl Halides;Fluorinated Organic Compounds;Nitro, Nitroso, Nitrate, and Nitrite Compounds, Organic",MATCH
100-14-1,"BENZENE, 1-(CHLOROMETHYL)-4-NITRO-",Halogenated Organic Compounds,7482,"Halogenated Organic Compounds;Nitro, Nitroso, Nitrate, and Nitrite Compounds, Organic",MATCH
