cas_number,chemical_name,expected_group,pubchem_cid,pubchem_groups,status
71-27-2,SUXAMETHONIUM DICHLORIDE,"Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters;Non-Redox-Active Inorganic Compounds;Quaternary Ammonium and Phosphonium Salts",22475,"Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters;Non-Redox-Active Inorganic Compounds;Quaternary Ammonium and Phosphonium Salts",MATCH
71-48-7,COBALT ACETATE,"Salts, Basic",6277,"Salts, Basic",MATCH
71-58-9,MEDROXYPROGESTERONE ACETATE,"Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters;Hydrocarbons, Aliphatic Unsaturated;Ketones",6279,"Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters;Hydrocarbons, Aliphatic Unsaturated;Ketones",MATCH
71-63-6,DIGITOXIN,"Alcohols and Polyols;Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters;Ethers;Hydrocarbons, Aliphatic Unsaturated",441207,"Alcohols and Polyols;Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters;Ethers;Hydrocarbons, Aliphatic Unsaturated",MATCH
7149-26-0,LINALYL ANTHRANILATE,"Amines, Aromatic;Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters;Hydrocarbons, Aliphatic Unsaturated",23535,"Amines, Aromatic;Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters;Hydrocarbons, Aliphatic Unsaturated",MATCH
7166-19-0,BETA-BROMO-BETA-NITROSTYRENE,"Halogenated Organic Compounds;Hydrocarbons, Aliphatic Unsaturated;Nitro, Nitroso, Nitrate, and Nitrite Compounds, Organic",23555,"Halogenated Organic Compounds;Hydrocarbons, Aliphatic Unsaturated;Nitro, Nitroso, Nitrate, and Nitrite Compounds, Organic",MATCH
71751-41-2,ABAMECTIN,"Acetals, Ketals, Hemiacetals, and Hemiketals;Alcohols and Polyols;Conjugated Dienes;Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters;Ethers;Hydrocarbons, Aliphatic Unsaturated",9920327,"Acetals, Ketals, Hemiacetals, and Hemiketals;Alcohols and Polyols;Conjugated Dienes;Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters;Ethers;Hydrocarbons, Aliphatic Unsaturated",MATCH
7177-48-2,AMPICILLIN TRIHYDRATE,"Acids, Carboxylic;Amides and Imides;Amines, Phosphines, and Pyridines;Sulfides, Organic",23565,"Acids, Carboxylic;Amides and Imides;Amines, Phosphines, and Pyridines;Sulfides, Organic",MATCH
7195-43-9,ISOPHTHALIC DIGLYCIDYL ESTER,"Epoxides;Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters",23600,"Epoxides;Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters",MATCH
72-14-0,SULFATHIAZOLE,"Amines, Phosphines, and Pyridines;Sulfides, Organic;Sulfonates, Phosphonates, and Thiophosphonates, Organic",5340,"Amines, Phosphines, and Pyridines;Sulfides, Organic;Sulfonates, Phosphonates, and Thiophosphonates, Organic",MATCH
