cas_number,chemical_name,expected_group,pubchem_cid,pubchem_groups,status
51-83-2,CARBACHOL CHLORIDE,Carbamates;Non-Redox-Active Inorganic Compounds;Quaternary Ammonium and Phosphonium Salts,5831,Carbamates;Non-Redox-Active Inorganic Compounds;Quaternary Ammonium and Phosphonium Salts,MATCH
510-15-6,CHLOROBENZILATE,"Alcohols and Polyols;Aryl Halides;Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters",10522,"Alcohols and Polyols;Aryl Halides;Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters",MATCH
51000-52-3,VINYL NEODECANOATE,"Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters;Hydrocarbons, Aliphatic Unsaturated;Polymerizable Compounds",65294,"Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters;Hydrocarbons, Aliphatic Unsaturated;Polymerizable Compounds",MATCH
51023-22-4,TRICHLOROBUTENE,"Halogenated Organic Compounds;Hydrocarbons, Aliphatic Unsaturated",39864,"Halogenated Organic Compounds;Hydrocarbons, Aliphatic Unsaturated",MATCH
51218-45-2,METOLACHLOR,"Amides and Imides;Amines, Aromatic;Halogenated Organic Compounds",4169,"Amides and Imides;Amines, Aromatic;Halogenated Organic Compounds",MATCH
51235-04-2,HEXAZINONE,"Amides and Imides;Amines, Phosphines, and Pyridines",39965,"Amides and Imides;Amines, Phosphines, and Pyridines",MATCH
5124-30-1,"1,1-METHYLENE BIS(4-ISOCYANATOCYCLOHEXANE)",Isocyanates and Isothiocyanates,21202,Isocyanates and Isothiocyanates,MATCH
513-37-1,DIMETHYLVINYL CHLORIDE,"Halogenated Organic Compounds;Hydrocarbons, Aliphatic Unsaturated",10555,"Halogenated Organic Compounds;Hydrocarbons, Aliphatic Unsaturated",MATCH
513-38-2,IODOMETHYLPROPANE,Halogenated Organic Compounds,10556,Halogenated Organic Compounds,MATCH
513-42-8,METHALLYL ALCOHOL,"Alcohols and Polyols;Hydrocarbons, Aliphatic Unsaturated",10557,"Alcohols and Polyols;Hydrocarbons, Aliphatic Unsaturated",MATCH
513-48-4,2-IODOBUTANE,Halogenated Organic Compounds,10559,Halogenated Organic Compounds,MATCH
513-77-9,BARIUM CARBONATE,Carbonate Salts,10563,Carbonate Salts,MATCH
513-86-0,ACETYL METHYL CARBINOL,Alcohols and Polyols;Ketones,179,Alcohols and Polyols;Ketones,MATCH
5131-58-8,"4-NITRO-1,3-BENZENEDIAMINE","Amines, Aromatic;Nitro, Nitroso, Nitrate, and Nitrite Compounds, Organic",21208,"Amines, Aromatic;Nitro, Nitroso, Nitrate, and Nitrite Compounds, Organic",MATCH
5131-60-2,4-CHLORO-M-PHENYLENEDIAMINE,"Amines, Aromatic;Aryl Halides",21209,"Amines, Aromatic;Aryl Halides",MATCH
51317-24-9,LEAD MONONITRORESORCINATE,"Nitro, Nitroso, Nitrate, and Nitrite Compounds, Organic;Phenolic Salts",92043654,"Nitro, Nitroso, Nitrate, and Nitrite Compounds, Organic;Phenolic Salts",MATCH
51338-27-3,DICLOFOP METHYL,"Aryl Halides;Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters;Ethers",39985,"Aryl Halides;Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters;Ethers",MATCH
514-10-3,ABIETIC ACID,"Acids, Carboxylic;Conjugated Dienes",10569,"Acids, Carboxylic;Conjugated Dienes",MATCH
514-73-8,DITHIAZANINE IODIDE,"Amines, Phosphines, and Pyridines;Bases, Weak;Conjugated Dienes;Hydrocarbons, Aromatic;Quaternary Ammonium and Phosphonium Salts;Sulfides, Organic",5702697,"Amines, Phosphines, and Pyridines;Bases, Weak;Conjugated Dienes;Hydrocarbons, Aromatic;Quaternary Ammonium and Phosphonium Salts;Sulfides, Organic",MATCH
5144-89-8,O-PHENANTHROLINE MONOHYDRATE,"Amines, Phosphines, and Pyridines;Hydrocarbons, Aromatic",21226,"Amines, Phosphines, and Pyridines;Hydrocarbons, Aromatic",MATCH
51481-61-9,CIMETIDINE,"Amines, Phosphines, and Pyridines;Nitriles;Sulfides, Organic",2756,"Amines, Phosphines, and Pyridines;Nitriles;Sulfides, Organic",MATCH
516-03-0,FERROUS OXALATE,"Reducing Agents, Weak;Salts, Basic",10589,"Reducing Agents, Weak;Salts, Basic",MATCH
5160-02-1,D&amp;C RED 9,"Aryl Halides;Azo, Diazo, Azido, Hydrazine, and Azide Compounds;Phenols and Cresols;Salts, Basic",21238,"Aryl Halides;Azo, Diazo, Azido, Hydrazine, and Azide Compounds;Phenols and Cresols;Salts, Basic",MATCH
51630-58-1,FENVALERATE,"Aryl Halides;Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters;Nitriles",3347,"Aryl Halides;Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters;Nitriles",MATCH
517-28-2,HEMATOXYLIN,"Acids, Weak;Phenols and Cresols",442514,"Acids, Weak;Phenols and Cresols",MATCH
51774-11-9,ISO HEPTYL ALCOHOL,Alcohols and Polyols,12331,Alcohols and Polyols,MATCH
518-47-8,"FLUORESCEIN, DISODIUM SALT","Ethers;Phenolic Salts;Salts, Basic",10608,"Ethers;Phenolic Salts;Salts, Basic",MATCH
518-82-1,EMODIN,Ketones;Phenols and Cresols,3220,Ketones;Phenols and Cresols,MATCH
51845-86-4,ETHYL BORATE,"Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters",61925,"Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters",MATCH
52-24-4,TRIS(AZIRIDINYL)PHOSPHINE SULFIDE,"Peroxides, Organic;Polymerizable Compounds;Sulfides, Organic",5453,"Peroxides, Organic;Polymerizable Compounds;Sulfides, Organic",MATCH
52-28-8,CODEINE PHOSPHATE,"Alcohols and Polyols;Hydrocarbons, Aliphatic Unsaturated;Salts, Acidic",5359227,"Alcohols and Polyols;Hydrocarbons, Aliphatic Unsaturated;Salts, Acidic",MATCH
52-51-7,"2-BROMO-2-NITROPROPANE-1,3-DIOL","Alcohols and Polyols;Halogenated Organic Compounds;Nitro, Nitroso, Nitrate, and Nitrite Compounds, Organic",2450,"Alcohols and Polyols;Halogenated Organic Compounds;Nitro, Nitroso, Nitrate, and Nitrite Compounds, Organic",MATCH
52-68-6,TRICHLORFON,"Alcohols and Polyols;Halogenated Organic Compounds;Sulfonates, Phosphonates, and Thiophosphonates, Organic",5853,"Alcohols and Polyols;Halogenated Organic Compounds;Sulfonates, Phosphonates, and Thiophosphonates, Organic",MATCH
52-85-7,FAMPHUR,"Acids, Weak;Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters;Sulfonates, Phosphonates, and Thiophosphonates, Organic",5859,"Acids, Weak;Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters;Sulfonates, Phosphonates, and Thiophosphonates, Organic",MATCH
521-31-3,O-AMINOPHTHALYL HYDRAZIDE,"Amides and Imides;Amines, Aromatic;Azo, Diazo, Azido, Hydrazine, and Azide Compounds",10638,"Amides and Imides;Amines, Aromatic;Azo, Diazo, Azido, Hydrazine, and Azide Compounds",MATCH
521-35-7,CANNABINOL,"Alcohols and Polyols;Hydrocarbons, Aromatic",2543,"Alcohols and Polyols;Hydrocarbons, Aromatic",MATCH
52125-53-8,PROPYLENE GLYCOL ETHYL ETHER,Alcohols and Polyols;Ethers,93269,Alcohols and Polyols;Ethers,MATCH
5216-25-1,"ALPHA, ALPHA, ALPHA, PARA-TETRACHLOROTOLUENE",Aryl Halides;Halogenated Organic Compounds,21277,Aryl Halides;Halogenated Organic Compounds,MATCH
522-40-7,DIETHYLSTILBESTROL DIPHOSPHATE,"Acids, Weak;Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters;Hydrocarbons, Aliphatic Unsaturated",3032325,"Acids, Weak;Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters;Hydrocarbons, Aliphatic Unsaturated",MATCH
52253-69-7,2-AMINO-4-PHENYLTHIAZOLE HYDROBROMIDE MONOHYDRATE,"Amines, Phosphines, and Pyridines;Salts, Acidic;Sulfides, Organic",40301,"Amines, Phosphines, and Pyridines;Salts, Acidic;Sulfides, Organic",MATCH
523-47-7,BETA-CADINENE,"Hydrocarbons, Aliphatic Unsaturated",10657,"Hydrocarbons, Aliphatic Unsaturated",MATCH
523-87-5,DIMENHYDRINATE,"Amides and Imides;Amines, Phosphines, and Pyridines;Halogenated Organic Compounds",10660,"Amides and Imides;Amines, Phosphines, and Pyridines;Halogenated Organic Compounds",MATCH
52326-66-6,DISTEARYL PEROXYDICARBONATE,"Peroxides, Organic",104155,"Peroxides, Organic",MATCH
5234-68-4,CARBOXIN,"Amides and Imides;Ethers;Hydrocarbons, Aliphatic Unsaturated;Sulfides, Organic",21307,"Amides and Imides;Ethers;Hydrocarbons, Aliphatic Unsaturated;Sulfides, Organic",MATCH
52345-74-1,SODIUM TETRATHIOCARBONATE,"Salts, Basic;Sulfides, Organic",21873080,"Salts, Basic;Sulfides, Organic",MATCH
524-42-5,"1,2-NAPHTHOQUINONE",Ketones,10667,Ketones,MATCH
52417-22-8,9-AMINOACRIDINE HYDROCHLORIDE MONOHYDRATE,"Salts, Acidic",2723598,"Salts, Acidic",MATCH
52503-64-7,COPPER SUBACETATE,"Salts, Basic",8895,"Salts, Basic",MATCH
526-75-0,"2,3-DIMETHYLPHENOL",Phenols and Cresols,10687,"Bases, Strong;Hydrocarbons, Aromatic;Phenols and Cresols",MATCH
52645-53-1,PERMETHRIN,"Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters;Ethers;Halogenated Organic Compounds;Hydrocarbons, Aliphatic Unsaturated",40326,"Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters;Ethers;Halogenated Organic Compounds;Hydrocarbons, Aliphatic Unsaturated",MATCH
527-62-8,"2-AMINO-4,6-DICHLOROPHENOL","Amines, Aromatic;Aryl Halides;Phenols and Cresols",10699,"Amines, Aromatic;Aryl Halides;Phenols and Cresols",MATCH
527-85-5,2-METHYLBENZAMIDE,Amides and Imides,10704,Amides and Imides,MATCH
52740-16-6,"CALCIUM ARSENITE, SOLID","Salts, Basic",40516,"Salts, Basic",MATCH
528-29-0,O-DINITROBENZENE,"Nitro, Nitroso, Nitrate, and Nitrite Compounds, Organic",10707,"Nitro, Nitroso, Nitrate, and Nitrite Compounds, Organic",MATCH
528-74-5,DICHLOROMETHOTREXATE,"Acids, Carboxylic;Amides and Imides;Amines, Phosphines, and Pyridines;Aryl Halides",10713,"Acids, Carboxylic;Amides and Imides;Amines, Phosphines, and Pyridines;Aryl Halides",MATCH
52888-80-9,"CARBAMOTHIOIC ACID, DIPROPYL-, S-(PHENYLMETHYL) ESTER",Thiocarbamate Esters and Salts/Dithiocarbamate Esters and Salts,62020,Thiocarbamate Esters and Salts/Dithiocarbamate Esters and Salts,MATCH
529-19-1,O-TOLUNITRILE,Nitriles,10721,Nitriles,MATCH
529-20-4,O-TOLUALDEHYDE,Aldehydes,10722,Aldehydes,MATCH
52933-01-4,BUTYL ACID PHOSPHATE,"Acids, Weak;Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters",,,ERROR
53-03-2,PREDNISONE,"Alcohols and Polyols;Hydrocarbons, Aliphatic Unsaturated;Ketones",5865,"Alcohols and Polyols;Hydrocarbons, Aliphatic Unsaturated;Ketones",MATCH
53-19-0,"O,P&#39;-DDD",Aryl Halides;Halogenated Organic Compounds,4211,Aryl Halides;Halogenated Organic Compounds,MATCH
53-70-3,"DIBENZ[A,H]ANTHRACENE","Hydrocarbons, Aromatic",5889,"Hydrocarbons, Aromatic",MATCH
53-86-1,INDOMETHACIN,"Acids, Carboxylic;Amides and Imides;Aryl Halides;Hydrocarbons, Aromatic",3715,"Acids, Carboxylic;Amides and Imides;Aryl Halides;Hydrocarbons, Aromatic",MATCH
53-95-2,N-HYDROXY-2-ACETYLAMINOFLUORENE,"Amides and Imides;Bases, Weak",5896,"Amides and Imides;Bases, Weak",MATCH
53-96-3,2-ACETYLAMINOFLUORENE,"Amides and Imides;Amines, Aromatic",5897,"Amides and Imides;Amines, Aromatic",MATCH
5307-14-2,2-NITRO-P-PHENYLENEDIAMINE,"Amines, Aromatic;Nitro, Nitroso, Nitrate, and Nitrite Compounds, Organic",4338370,"Amines, Aromatic;Nitro, Nitroso, Nitrate, and Nitrite Compounds, Organic",MATCH
531-73-7,PROFLAVINE DIHYDROCHLORIDE,"Salts, Acidic",10750,"Salts, Acidic",MATCH
531-76-0,"D,L-SARCOLYSIN","Acids, Carboxylic;Amines, Phosphines, and Pyridines;Halogenated Organic Compounds",4053,"Acids, Carboxylic;Amines, Phosphines, and Pyridines;Halogenated Organic Compounds",MATCH
531-85-1,BENZIDINE DIHYDROCHLORIDE,"Salts, Acidic",10754,"Salts, Acidic",MATCH
532-27-4,2-CHLOROACETOPHENONE,Halogenated Organic Compounds;Ketones,10757,Halogenated Organic Compounds;Ketones,MATCH
532-28-5,ALPHA-HYDROXYBENZENEACETONITRILE,Alcohols and Polyols;Nitriles,10758,Alcohols and Polyols;Nitriles,MATCH
532-82-1,C.I. BASIC ORANGE 2,"Amines, Aromatic;Azo, Diazo, Azido, Hydrazine, and Azide Compounds",10771,"Amines, Aromatic;Azo, Diazo, Azido, Hydrazine, and Azide Compounds",MATCH
53220-22-7,DIMYRISTYL PEROXYDICARBONATE,"Peroxides, Organic",104447,"Peroxides, Organic",MATCH
5323-95-5,"RICINOLEIC ACID, SODIUM SALT","Alcohols and Polyols;Hydrocarbons, Aliphatic Unsaturated;Salts, Basic",23687338,"Alcohols and Polyols;Hydrocarbons, Aliphatic Unsaturated;Salts, Basic",MATCH
5329-14-6,SULFAMIC ACID,"Acids, Strong Non-oxidizing",5987,"Acids, Strong Non-oxidizing",MATCH
533-74-4,DAZOMET,"Amines, Phosphines, and Pyridines;Sulfides, Organic",10788,"Amines, Phosphines, and Pyridines;Sulfides, Organic",MATCH
5332-52-5,1-UNDECANETHIOL,"Sulfides, Organic",62570,"Sulfides, Organic",MATCH
534-07-6,"1,3-DICHLOROACETONE",Halogenated Organic Compounds;Ketones,10793,Halogenated Organic Compounds;Ketones,MATCH
534-16-7,SILVER CARBONATE,Carbonate Salts,92796,Carbonate Salts,MATCH
534-52-1,"4,6-DINITRO-O-CRESOL","Nitro, Nitroso, Nitrate, and Nitrite Compounds, Organic;Phenols and Cresols",10800,"Nitro, Nitroso, Nitrate, and Nitrite Compounds, Organic;Phenols and Cresols",MATCH
53404-18-5,POTASSIUM P-T-AMYLPHENATE,Phenolic Salts,23707510,Phenolic Salts,MATCH
53404-19-6,BROMACIL LITHIUM SALT,"Amides and Imides;Halogenated Organic Compounds;Hydrocarbons, Aliphatic Unsaturated;Salts, Basic",18772494,"Amides and Imides;Halogenated Organic Compounds;Hydrocarbons, Aliphatic Unsaturated;Salts, Basic",MATCH
53404-37-8,"2,4-D 2-ETHYL-4-METHYLPENTYL ESTER","Aryl Halides;Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters;Ethers",62039,"Aryl Halides;Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters;Ethers",MATCH
53404-60-7,DAZOMET SODIUM SALT,"Amines, Phosphines, and Pyridines;Salts, Basic;Sulfides, Organic",23690887,"Amines, Phosphines, and Pyridines;Salts, Basic;Sulfides, Organic",MATCH
53469-21-9,PCB-1242,Aryl Halides,,,ERROR
535-13-7,ETHYL 2-CHLOROPROPIONATE,"Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters;Halogenated Organic Compounds",10807,"Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters;Halogenated Organic Compounds",MATCH
535-80-8,M-CHLOROBENZOIC ACID,"Acids, Carboxylic;Aryl Halides",447,"Acids, Carboxylic;Aryl Halides",MATCH
535-89-7,CRIMIDINE,"Amines, Phosphines, and Pyridines;Aryl Halides",10813,"Amines, Phosphines, and Pyridines;Aryl Halides",MATCH
53558-25-1,PYRIMINIL,"Amides and Imides;Amines, Phosphines, and Pyridines;Nitro, Nitroso, Nitrate, and Nitrite Compounds, Organic",40813,"Amides and Imides;Amines, Phosphines, and Pyridines;Nitro, Nitroso, Nitrate, and Nitrite Compounds, Organic",MATCH
536-33-4,ETHIONAMIDE,"Amines, Phosphines, and Pyridines;Thiocarbamate Esters and Salts/Dithiocarbamate Esters and Salts",2761171,"Amines, Phosphines, and Pyridines;Thiocarbamate Esters and Salts/Dithiocarbamate Esters and Salts",MATCH
536-90-3,M-ANISIDINE,"Amines, Aromatic;Ethers",10824,"Amines, Aromatic;Ethers",MATCH
537-92-8,N-ACETYL-M-TOLUIDINE,"Amides and Imides;Amines, Aromatic",10843,"Amides and Imides;Amines, Aromatic",MATCH
538-07-8,ETHYLBIS(2-CHLOROETHYL)AMINE,"Amines, Phosphines, and Pyridines;Halogenated Organic Compounds",10848,"Amines, Phosphines, and Pyridines;Halogenated Organic Compounds",MATCH
538-23-8,TRICAPRYLIN,"Acetals, Ketals, Hemiacetals, and Hemiketals;Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters;Fluorinated Organic Compounds;Hydrocarbons, Aliphatic Unsaturated;Ketones",10850,"Acetals, Ketals, Hemiacetals, and Hemiketals;Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters;Fluorinated Organic Compounds;Hydrocarbons, Aliphatic Unsaturated;Ketones",MATCH
538-74-9,DIBENZYL SULFIDE,"Sulfides, Organic",10867,"Sulfides, Organic",MATCH
538-75-0,"N,N&#39;-DICYCLOHEXYLCARBODIIMIDE","Amines, Phosphines, and Pyridines",10868,"Amines, Phosphines, and Pyridines",MATCH
5385-75-1,"DIBENZO(A,E)FLUORANTHENE","Hydrocarbons, Aromatic",21480,"Hydrocarbons, Aromatic",MATCH
5392-40-5,CITRAL,"Aldehydes;Hydrocarbons, Aliphatic Unsaturated",638011,"Aldehydes;Hydrocarbons, Aliphatic Unsaturated",MATCH
5397-31-9,3-((2-ETHYLHEXYL)OXY)PROPYLAMINE,"Amines, Phosphines, and Pyridines",21499,"Amines, Phosphines, and Pyridines",MATCH
54-31-9,FUROSEMIDE,"Acids, Carboxylic;Amides and Imides;Amines, Phosphines, and Pyridines;Aryl Halides;Ethers",3440,"Acids, Carboxylic;Amides and Imides;Amines, Phosphines, and Pyridines;Aryl Halides;Ethers",MATCH
54-62-6,AMINOPTERIN,"Acids, Carboxylic;Amides and Imides;Amines, Phosphines, and Pyridines;Hydrocarbons, Aliphatic Unsaturated",169371,"Acids, Carboxylic;Amides and Imides;Amines, Phosphines, and Pyridines;Hydrocarbons, Aliphatic Unsaturated",MATCH
54-64-8,"MERCURY((O-CARBOXYPHENYL)THIO)ETHYL, SODIUM SALT","Organometallics;Salts, Basic;Sulfides, Organic",16684434,"Organometallics;Salts, Basic;Sulfides, Organic",MATCH
54-85-3,ISONIAZID,"Amides and Imides;Amines, Phosphines, and Pyridines",3767,"Amides and Imides;Amines, Phosphines, and Pyridines",MATCH
54-88-6,2-METHYL-4-DIMETHYLAMINOAZOBENZENE,"Amines, Phosphines, and Pyridines;Azo, Diazo, Azido, Hydrazine, and Azide Compounds",5916,"Amines, Phosphines, and Pyridines;Azo, Diazo, Azido, Hydrazine, and Azide Compounds",MATCH
54-95-5,PENTETRAZOL,"Azo, Diazo, Azido, Hydrazine, and Azide Compounds",5917,"Azo, Diazo, Azido, Hydrazine, and Azide Compounds",MATCH
540-18-1,N-AMYL BUTYRATE,"Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters",10890,"Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters",MATCH
540-23-8,P-TOLUIDINE HYDROCHLORIDE,"Salts, Acidic",10891,"Salts, Acidic",MATCH
540-42-1,ISOBUTYL PROPIONATE,"Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters",10895,"Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters",MATCH
540-59-0,"1,2-DICHLOROETHYLENE, (MIXED ISOMERS)","Halogenated Organic Compounds;Hydrocarbons, Aliphatic Unsaturated",10900,"Halogenated Organic Compounds;Hydrocarbons, Aliphatic Unsaturated",MATCH
540-69-2,AMMONIUM FORMATE,"Salts, Acidic",2723923,"Salts, Acidic",MATCH
540-72-7,SODIUM THIOCYANATE,"Reducing Agents, Strong;Salts, Basic;Water and Aqueous Solutions",516871,"Reducing Agents, Strong;Salts, Basic;Water and Aqueous Solutions",MATCH
540-82-9,ALKYLSULFURIC ACIDS,"Acids, Strong Oxidizing",6004,"Acids, Strong Oxidizing",MATCH
5405-41-4,ETHYL 3-HYDROXYBUTYRATE,"Alcohols and Polyols;Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters",62572,"Alcohols and Polyols;Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters",MATCH
54075-76-2,TRIMETHYLOXONIUM HEXACHLORANTIMONATE,"Oxidizing Agents, Strong",150258,"Oxidizing Agents, Strong",MATCH
541-09-3,URANYL ACETATE,"Salts, Acidic",21226249,"Salts, Acidic",MATCH
541-22-0,DECAMETHONIUM DIBROMIDE,Non-Redox-Active Inorganic Compounds;Quaternary Ammonium and Phosphonium Salts,10921,Non-Redox-Active Inorganic Compounds;Quaternary Ammonium and Phosphonium Salts,MATCH
541-25-3,LEWISITE,"Halogenated Organic Compounds;Halogenating Agents;Hydrocarbons, Aliphatic Unsaturated",10923,"Halogenated Organic Compounds;Halogenating Agents;Hydrocarbons, Aliphatic Unsaturated",MATCH
541-53-7,DITHIOBIURET,Amides and Imides,2758725,Amides and Imides,MATCH
541-85-5,ETHYL SEC-AMYL KETONE,Ketones,7822,Ketones,MATCH
54150-69-5,"2,4-DIMETHOXYANILINE HYDROCHLORIDE","Ethers;Salts, Acidic",5284385,"Ethers;Salts, Acidic",MATCH
5419-55-6,TRIISOPROPYL BORATE,"Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters",21531,"Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters",MATCH
542-59-6,"ETHYLENE GLYCOL, MONOACETATE","Alcohols and Polyols;Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters",10960,"Alcohols and Polyols;Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters",MATCH
542-62-1,BARIUM CYANIDE,"Cyanides, Inorganic",,,ERROR
5421-46-5,AMMONIUM THIOGLYCOLATE,"Salts, Basic;Sulfides, Organic",21534,"Salts, Basic;Sulfides, Organic",MATCH
54289-46-2,"N,N-DIETHYL-4-((5-NITRO-2-THIAZOYL)AZO) BENZENAMINE","Amines, Phosphines, and Pyridines;Azo, Diazo, Azido, Hydrazine, and Azide Compounds;Nitro, Nitroso, Nitrate, and Nitrite Compounds, Organic",104718,"Amines, Phosphines, and Pyridines;Azo, Diazo, Azido, Hydrazine, and Azide Compounds;Nitro, Nitroso, Nitrate, and Nitrite Compounds, Organic",MATCH
543-27-1,ISOBUTYL CHLOROFORMATE,"Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters;Halogenated Organic Compounds",62365,"Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters;Halogenated Organic Compounds",MATCH
543-67-9,PROPIONITRITE,"Nitro, Nitroso, Nitrate, and Nitrite Compounds, Organic",10979,"Nitro, Nitroso, Nitrate, and Nitrite Compounds, Organic",MATCH
543-90-8,CADMIUM ACETATE,"Salts, Basic",10986,"Salts, Basic",MATCH
5437-38-7,3-METHYL-2-NITROBENZOIC ACID,"Acids, Carboxylic;Nitro, Nitroso, Nitrate, and Nitrite Compounds, Organic",21575,"Acids, Carboxylic;Nitro, Nitroso, Nitrate, and Nitrite Compounds, Organic",MATCH
544-10-5,1-CHLOROHEXANE,Halogenated Organic Compounds,10992,Halogenated Organic Compounds,MATCH
544-16-1,BUTYL NITRITE,"Nitro, Nitroso, Nitrate, and Nitrite Compounds, Organic",10996,"Nitro, Nitroso, Nitrate, and Nitrite Compounds, Organic",MATCH
544-18-3,COBALTOUS FORMATE,"Salts, Basic",10998,"Salts, Basic",MATCH
544-19-4,COPPER FORMATE,"Salts, Basic",10999,"Salts, Basic",MATCH
544-25-2,CYCLOHEPTATRIENE,"Conjugated Dienes;Hydrocarbons, Aliphatic Unsaturated;Polymerizable Compounds",11000,"Conjugated Dienes;Hydrocarbons, Aliphatic Unsaturated;Polymerizable Compounds",MATCH
544-60-5,AMMONIUM OLEATE,"Hydrocarbons, Aliphatic Unsaturated;Salts, Acidic",6435897,"Hydrocarbons, Aliphatic Unsaturated;Salts, Acidic",MATCH
544-63-8,TETRADECANOIC ACID,"Acids, Carboxylic",11005,"Acids, Carboxylic",MATCH
544-76-3,N-HEXADECANE,"Hydrocarbons, Aliphatic Saturated",11006,"Hydrocarbons, Aliphatic Saturated",MATCH
544-92-3,COPPER CYANIDE,"Cyanides, Inorganic",11009,"Cyanides, Inorganic",MATCH
544-97-8,DIMETHYLZINC,"Metal Hydrides, Metal Alkyls, Metal Aryls, and Silanes",11010,"Metal Hydrides, Metal Alkyls, Metal Aryls, and Silanes",MATCH
54413-15-9,TRITONAL,"Metals, Elemental and Powder, Active;Nitro, Nitroso, Nitrate, and Nitrite Compounds, Organic",62079,"Metals, Elemental and Powder, Active;Nitro, Nitroso, Nitrate, and Nitrite Compounds, Organic",MATCH
54497-43-7,ZINC SELENITE,Sulfite and Thiosulfate Salts,44151530,Sulfite and Thiosulfate Salts,MATCH
545-06-2,TRICHLOROACETONITRILE,Halogenated Organic Compounds;Nitriles,11011,Halogenated Organic Compounds;Nitriles,MATCH
545-55-1,TRIS(1-AZIRIDINYL) PHOSPHINE OXIDE,"Epoxides;Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters;Polymerizable Compounds;Water and Aqueous Solutions",11016,"Epoxides;Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters;Polymerizable Compounds;Water and Aqueous Solutions",MATCH
5459-93-8,ETHYL-N-CYCLOHEXYLAMINE,"Amines, Phosphines, and Pyridines",21609,"Amines, Phosphines, and Pyridines",MATCH
546-67-8,LEAD TETRAACETATE,"Oxidizing Agents, Strong",11025,"Oxidizing Agents, Strong",MATCH
546-68-9,TETRAISOPROPYL TITANATE,"Bases, Strong",11026,"Bases, Strong",MATCH
546-93-0,MAGNESITE,Carbonate Salts,11029,Carbonate Salts,MATCH
5464-79-9,2-AMINO-4-METHOXYBENZOTHIAZOLE,"Amines, Phosphines, and Pyridines;Sulfides, Organic",21622,"Amines, Phosphines, and Pyridines;Sulfides, Organic",MATCH
5466-77-3,2-ETHYLHEXYL P-METHOXYCINNAMATE,"Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters;Ethers;Hydrocarbons, Aliphatic Unsaturated",5355130,"Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters;Ethers;Hydrocarbons, Aliphatic Unsaturated",MATCH
5466-84-2,4-NITROPHTHALIC ANHYDRIDE,"Anhydrides;Nitro, Nitroso, Nitrate, and Nitrite Compounds, Organic",230976,"Anhydrides;Nitro, Nitroso, Nitrate, and Nitrite Compounds, Organic",MATCH
54693-46-8,DIACETONE ALCOHOL PEROXIDES,"Ketones;Peroxides, Organic",,,ERROR
