cas_number,chemical_name,group_id,group_name,source,course,experiment
1314-62-1,VANADIUM PENTOXIDE,50,"Oxidizing Agents, Strong",reaction_frequency_high,,
1317-35-7,MANGANESE TETROXIDE,50,"Oxidizing Agents, Strong",reaction_frequency_high,,
1333-82-0,"CHROMIUM TRIOXIDE, ANHYDROUS",50,"Oxidizing Agents, Strong",reaction_frequency_high,,
13446-10-1,AMMONIUM PERMANGANATE,50,"Oxidizing Agents, Strong",reaction_frequency_high,,
13450-97-0,STRONTIUM PERCHLORATE,50,"Oxidizing Agents, Strong",reaction_frequency_high,,
13453-30-0,THALLIUM CHLORATE,50,"Oxidizing Agents, Strong",reaction_frequency_high,,
13477-10-6,"BARIUM HYPOCHLORITE, WITH MORE THAN 22% AVAILABLE CHLORINE",50,"Oxidizing Agents, Strong",reaction_frequency_high,,
13477-36-6,CALCIUM PERCHLORATE,50,"Oxidizing Agents, Strong",reaction_frequency_high,,
13530-65-9,ZINC CHROMATE,50,"Oxidizing Agents, Strong",reaction_frequency_high,,
13637-76-8,LEAD PERCHLORATE,50,"Oxidizing Agents, Strong",reaction_frequency_high,,
13765-19-0,CALCIUM CHROMATE,50,"Oxidizing Agents, Strong",reaction_frequency_high,,
13768-86-0,SELENIUM TRIOXIDE,50,"Oxidizing Agents, Strong",reaction_frequency_high,,
13843-81-7,LITHIUM DICHROMATE,50,"Oxidizing Agents, Strong",reaction_frequency_high,,
13967-90-3,BARIUM BROMATE,50,"Oxidizing Agents, Strong",reaction_frequency_high,,
14018-95-2,ZINC DICHROMATE,50,"Oxidizing Agents, Strong",reaction_frequency_high,,
14307-35-8,LITHIUM CHROMATE,50,"Oxidizing Agents, Strong",reaction_frequency_high,,
