CAS_Number,Chemical_Name,Reactive_Group_IDs,Reactive_Groups
11056-06-7,BLEOMYCIN,8;12;14;64,"Alcohols and Polyols;Amides and Imides;Amines, Phosphines, and Pyridines;Sulfides, Organic"
11071-47-9,ISOOCTENE,34,"Hydrocarbons, Aliphatic Unsaturated"
11084-85-8,CHLORINATED TRISODIUM PHOSPHATE,50;61,"Oxidizing Agents, Strong;Salts, Basic"
11096-82-5,PCB-1260,16,Aryl Halides
11099-03-9,C.I. SOLVENT BLACK 5,36,Insufficient Information for Classification
111-02-4,TRANS-SQUALENE,34,"Hydrocarbons, Aliphatic Unsaturated"
111-11-5,METHYL OCTANOATE,27,"Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters"
111-14-8,HEPTANOIC ACID,2,"Acids, Carboxylic"
111-20-6,SEBACIC ACID,2,"Acids, Carboxylic"
111-21-7,TRIETHYLENE GLYCOL DIACETATE,27;28;56,"Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters;Ethers;Polymerizable Compounds"
111-35-3,3-ETHOXY-1-PROPANOL,8;28,Alcohols and Polyols;Ethers
111-41-1,AMINOETHYLETHANOLAMINE,8;14,"Alcohols and Polyols;Amines, Phosphines, and Pyridines"
111-42-2,DIETHANOLAMINE,8;14,"Alcohols and Polyols;Amines, Phosphines, and Pyridines"
111-46-6,DIETHYLENE GLYCOL,8;28,Alcohols and Polyols;Ethers
111-48-8,THIODIGLYCOL,8;64,"Alcohols and Polyols;Sulfides, Organic"
111-54-6,"ETHYLENEBISDITHIOCARBAMIC ACID, SALTS AND ESTERS",5;67,"Acids, Weak;Thiocarbamate Esters and Salts/Dithiocarbamate Esters and Salts"
111-55-7,ETHYLENE GLYCOL DIACETATE,27,"Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters"
111-69-3,ADIPONITRILE,45,Nitriles
111-70-6,HEPTANOL,8,Alcohols and Polyols
111-90-0,DIETHYLENE GLYCOL MONOETHYL ETHER,8;28,Alcohols and Polyols;Ethers
111-94-4,"3,3&#39;-IMINODIPROPIONITRILE",14;45;56,"Amines, Phosphines, and Pyridines;Nitriles;Polymerizable Compounds"
11100-14-4,PCB-1268,16,Aryl Halides
11103-57-4,VITAMIN A,8;23;34,"Alcohols and Polyols;Conjugated Dienes;Hydrocarbons, Aliphatic Unsaturated"
11104-28-2,PCB-1221,16,Aryl Halides
11106-54-0,4-METHOXYBENZYLIDINE-4&#39;-N-BUTYLAZOXYBENZENE,14;17;35,"Amines, Phosphines, and Pyridines;Azo, Diazo, Azido, Hydrazine, and Azide Compounds;Hydrocarbons, Aromatic"
1111-78-0,AMMONIUM CARBAMATE,20;60,"Carbamates;Salts, Acidic"
11138-49-1,"SODIUM ALUMINATE, SOLUTION",18;68,"Bases, Strong;Water and Aqueous Solutions"
1114-71-2,PEBULATE,67,Thiocarbamate Esters and Salts/Dithiocarbamate Esters and Salts
11141-16-5,PCB-1232,16,Aryl Halides
111512-56-2,"1,1-DICHLORO-1,2,3,3,3-PENTAFLUOROPROPANE",30,Fluorinated Organic Compounds
1116-40-1,TRIISOBUTYLAMINE,14,"Amines, Phosphines, and Pyridines"
1116-54-7,N-NITROSODIETHANOLAMINE,8;17;46,"Alcohols and Polyols;Azo, Diazo, Azido, Hydrazine, and Azide Compounds;Nitro, Nitroso, Nitrate, and Nitrite Compounds, Organic"
1116-70-7,TRI-N-BUTYLALUMINUM,39,"Metal Hydrides, Metal Alkyls, Metal Aryls, and Silanes"
1119-40-0,DIMETHYL GLUTARATE,27,"Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters"
111984-09-9,"3,3&#39;-DIMETHOXYBENZIDINE HYDROCHLORIDE",28;60,"Ethers;Salts, Acidic"
112-02-7,HEXADECYLTRIMETHYLAMMONIUM CHLORIDE,47;57,Non-Redox-Active Inorganic Compounds;Quaternary Ammonium and Phosphonium Salts
112-15-2,DIETHYLENE GLYCOL ETHYL ETHER ACETATE,27;28,"Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters;Ethers"
112-18-5,"N,N-DIMETHYLDODECYLAMINE",14,"Amines, Phosphines, and Pyridines"
112-24-3,TRIETHYLENETETRAMINE,14,"Amines, Phosphines, and Pyridines"
112-27-6,TRIETHYLENE GLYCOL,8;28,Alcohols and Polyols;Ethers
112-30-1,DECYL ALCOHOL,8,Alcohols and Polyols
112-31-2,DECALDEHYDE,9,Aldehydes
112-34-5,DIETHYLENE GLYCOL MONOBUTYL ETHER,8;28,Alcohols and Polyols;Ethers
112-35-6,TRIETHYLENE GLYCOL METHYL ETHER,8;28,Alcohols and Polyols;Ethers
112-37-8,UNDECANOIC ACID,2,"Acids, Carboxylic"
112-41-4,1-DODECENE,34,"Hydrocarbons, Aliphatic Unsaturated"
112-48-1,ETHYLENE GLYCOL DIBUTYL ETHER,28,Ethers
112-50-5,ETHOXY TRIGLYCOL,8;28,Alcohols and Polyols;Ethers
112-52-7,LAURYL CHLORIDE,31,Halogenated Organic Compounds
112-53-8,DODECANOL,8,Alcohols and Polyols
112-56-1,2-(2-BUTOXYETHOXY)ETHYL THIOCYANATE,28;37,Ethers;Isocyanates and Isothiocyanates
112-57-2,TETRAETHYLENEPENTAMINE,14,"Amines, Phosphines, and Pyridines"
112-59-4,DIETHYLENE GLYCOL N-HEXYL ETHER,28,Ethers
112-60-7,TETRAETHYLENE GLYCOL,8;28,Alcohols and Polyols;Ethers
112-61-8,METHYL STEARATE,27,"Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters"
112-62-9,OLEIC ACID METHYL ESTER,27;34,"Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters;Hydrocarbons, Aliphatic Unsaturated"
112-67-4,HEXADECANOYL CHLORIDE,7,"Acyl Halides, Sulfonyl Halides, and Chloroformates"
112-69-6,DIMETHYL HEXADECANAMINE,14,"Amines, Phosphines, and Pyridines"
112-72-1,TETRADECANOL,8,Alcohols and Polyols
112-73-2,DIETHYLENE GLYCOL DIBUTYL ETHER,28,Ethers
112-75-4,DIMETHYLTETRADECANAMINE,14,"Amines, Phosphines, and Pyridines"
112-80-1,OLEIC ACID,2;34,"Acids, Carboxylic;Hydrocarbons, Aliphatic Unsaturated"
112-95-8,N-EICOSANE,33,"Hydrocarbons, Aliphatic Saturated"
1120-01-0,"HEXADECYL SULFATE, [SODIUM SALT]",61,"Salts, Basic"
1120-36-1,1-TETRADECENE,34,"Hydrocarbons, Aliphatic Unsaturated"
1120-71-4,PROPANE SULTONE,4;66,"Acids, Strong Oxidizing;Sulfonates, Phosphonates, and Thiophosphonates, Organic"
1122-54-9,4-ACETYLPYRIDINE,14;38,"Amines, Phosphines, and Pyridines;Ketones"
1124-33-0,"PYRIDINE, 4-NITRO-, 1-OXIDE",14;46;51,"Amines, Phosphines, and Pyridines;Nitro, Nitroso, Nitrate, and Nitrite Compounds, Organic;Oxidizing Agents, Weak"
1125-27-5,ETHYLPHENYLDICHLOROSILANE,22,Chlorosilanes
1126-78-9,N-BUTYLANILINE,13,"Amines, Aromatic"
1129-41-5,METOLCARB,20,Carbamates
113-92-8,CHLORPHENIRAMINE MALEATE,16;34;60,"Aryl Halides;Hydrocarbons, Aliphatic Unsaturated;Salts, Acidic"
1134-23-2,CYCLOATE,67,Thiocarbamate Esters and Salts/Dithiocarbamate Esters and Salts
1134-47-0,BACLOFEN,2;14;16;31,"Acids, Carboxylic;Amines, Phosphines, and Pyridines;Aryl Halides;Halogenated Organic Compounds"
114-26-1,PROPOXUR,20;28,Carbamates;Ethers
114-49-8,SCOPOLAMINE HYDROBROMIDE,8;26;27;35;60,"Alcohols and Polyols;Epoxides;Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters;Hydrocarbons, Aromatic;Salts, Acidic"
114-83-0,1-ACETYL-2-PHENYLHYDRAZIDE,12;14;17,"Amides and Imides;Amines, Phosphines, and Pyridines;Azo, Diazo, Azido, Hydrazine, and Azide Compounds"
1143-38-0,ANTHRALIN,38;55,Ketones;Phenols and Cresols
115-02-6,AZASERINE,2;14;17;27,"Acids, Carboxylic;Amines, Phosphines, and Pyridines;Azo, Diazo, Azido, Hydrazine, and Azide Compounds;Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters"
115-09-3,METHYL MERCURY(II)CHLORIDE,49,Organometallics
115-18-4,METHYL BUTENOL,8;34,"Alcohols and Polyols;Hydrocarbons, Aliphatic Unsaturated"
115-19-5,2-METHYL-2-HYDROXY-3-BUTYNE,8;10,"Alcohols and Polyols;Alkynes, with Acetylenic Hydrogen"
115-26-4,DIMEFOX,14;66,"Amines, Phosphines, and Pyridines;Sulfonates, Phosphonates, and Thiophosphonates, Organic"
115-28-6,CHLORENDIC ACID,2;31;34,"Acids, Carboxylic;Halogenated Organic Compounds;Hydrocarbons, Aliphatic Unsaturated"
115-29-7,ENDOSULFAN,27;31;34,"Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters;Halogenated Organic Compounds;Hydrocarbons, Aliphatic Unsaturated"
115-32-2,DICOFOL,8;16;31,Alcohols and Polyols;Aryl Halides;Halogenated Organic Compounds
115-77-5,PENTAERYTHRITOL,8,Alcohols and Polyols
115-86-6,TRIPHENYL PHOSPHATE,27;35,"Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters;Hydrocarbons, Aromatic"
115-90-2,FENSULFOTHION,27;66,"Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters;Sulfonates, Phosphonates, and Thiophosphonates, Organic"
115-96-8,TRIS(2-CHLOROETHYL) PHOSPHATE,27;31,"Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters;Halogenated Organic Compounds"
1156-19-0,TOLAZAMIDE,12;17;66,"Amides and Imides;Azo, Diazo, Azido, Hydrazine, and Azide Compounds;Sulfonates, Phosphonates, and Thiophosphonates, Organic"
116-06-3,ALDICARB,20;52,Carbamates;Oximes
116-54-1,METHYL DICHLOROACETATE,27;31,"Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters;Halogenated Organic Compounds"
116-71-2,VAT BLUE 20,35;38,"Hydrocarbons, Aromatic;Ketones"
1162-65-8,AFLATOXIN B-1,28;34;38,"Ethers;Hydrocarbons, Aliphatic Unsaturated;Ketones"
1163-19-5,DECABROMODIPHENYL OXIDE,16;28,Aryl Halides;Ethers
117-08-8,TETRACHLOROPHTHALIC ANHYDRIDE,15;16,Anhydrides;Aryl Halides
117-10-2,DANTHRON,38;55,Ketones;Phenols and Cresols
117-18-0,"2,3,5,6-TETRACHLORONITROBENZENE",16;46,"Aryl Halides;Nitro, Nitroso, Nitrate, and Nitrite Compounds, Organic"
117-39-5,QUERCETIN,38;55,Ketones;Phenols and Cresols
117-61-3,"BENZIDINE-2,2&#39;-DISULFONIC ACID",5;13;66,"Acids, Weak;Amines, Aromatic;Sulfonates, Phosphonates, and Thiophosphonates, Organic"
117-79-3,2-AMINOANTHRAQUINONE,13;38,"Amines, Aromatic;Ketones"
117-80-6,DICHLONE,16;38;68,Aryl Halides;Ketones;Water and Aqueous Solutions
117-81-7,DI(2-ETHYLHEXYL) PHTHALATE,27,"Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters"
117-84-0,DI-N-OCTYL PHTHALATE,27,"Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters"
1172-18-5,FLURAZEPAM DIHYDROCHLORIDE,12;14;16;30;60,"Amides and Imides;Amines, Phosphines, and Pyridines;Aryl Halides;Fluorinated Organic Compounds;Salts, Acidic"
1174-72-7,TETRAPHENOXYSILANE,62,Siloxanes
118-52-5,"1,3-DICHLORO-5,5-DIMETHYLHYDANTOIN",7;32;50,"Acyl Halides, Sulfonyl Halides, and Chloroformates;Halogenating Agents;Oxidizing Agents, Strong"
118-56-9,"3,3,5-TRIMETHYLCYCLOHEXYLSALICYLATE",27;55,"Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters;Phenols and Cresols"
118-58-1,BENZYL SALICYLATE,27;55,"Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters;Phenols and Cresols"
118-71-8,MALTOL,28;38;55,Ethers;Ketones;Phenols and Cresols
118-74-1,HEXACHLOROBENZENE,16,Aryl Halides
118-75-2,CHLORANIL,31;34;38,"Halogenated Organic Compounds;Hydrocarbons, Aliphatic Unsaturated;Ketones"
118-79-6,"2,4,6-TRIBROMOPHENOL",5;16;55,"Acids, Weak;Aryl Halides;Phenols and Cresols"
118-90-1,O-TOLUIC ACID,2,"Acids, Carboxylic"
118-91-2,O-CHLOROBENZOIC ACID,2;16,"Acids, Carboxylic;Aryl Halides"
118-92-3,ANTHRANILIC ACID,2;13,"Acids, Carboxylic;Amines, Aromatic"
118-96-7,"TNT, WETTED WITH NOT LESS THAN 30% WATER",46;68,"Nitro, Nitroso, Nitrate, and Nitrite Compounds, Organic;Water and Aqueous Solutions"
1184-57-2,METHYL MERCURY HYDROXIDE,49;61,"Organometallics;Salts, Basic"
1185-57-5,FERRIC AMMONIUM CITRATE,60,"Salts, Acidic"
1185-81-5,DIBUTYLTIN-BIS(LAURYL MERCAPTIDE),49;63,"Organometallics;Sulfides, Inorganic"
1187-42-4,DIAMINOMALEONITRILE,14;34;45,"Amines, Phosphines, and Pyridines;Hydrocarbons, Aliphatic Unsaturated;Nitriles"
1189-85-1,T-BUTYL CHROMATE,50,"Oxidizing Agents, Strong"
119-06-2,DITRIDECYL PHTHALATE,27,"Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters"
119-07-3,OCTYL DECYL PHTHALATE,27,"Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters"
119-15-3,"4-(2,4-DINITROANILINO)PHENOL",13;46;55,"Amines, Aromatic;Nitro, Nitroso, Nitrate, and Nitrite Compounds, Organic;Phenols and Cresols"
119-31-3,3-DIMETHYLAMINO-4-METHYLPHENOL,14;55,"Amines, Phosphines, and Pyridines;Phenols and Cresols"
119-34-6,4-AMINO-2-NITROPHENOL,13;46;55,"Amines, Aromatic;Nitro, Nitroso, Nitrate, and Nitrite Compounds, Organic;Phenols and Cresols"
119-38-0,ISOPROPYLMETHYLPYRAZOLYL DIMETHYLCARBAMATE,17;20,"Azo, Diazo, Azido, Hydrazine, and Azide Compounds;Carbamates"
119-39-1,1-(2H)-PHTHALAZINONE,12;17;35,"Amides and Imides;Azo, Diazo, Azido, Hydrazine, and Azide Compounds;Hydrocarbons, Aromatic"
119-53-9,BENZOIN,8;35;38,"Alcohols and Polyols;Hydrocarbons, Aromatic;Ketones"
119-61-9,BENZOPHENONE,35;38,"Hydrocarbons, Aromatic;Ketones"
119-75-5,2-NITRODIPHENYLAMINE,14;46,"Amines, Phosphines, and Pyridines;Nitro, Nitroso, Nitrate, and Nitrite Compounds, Organic"
119-84-6,"3,4-DIHYDROCOUMARIN",27,"Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters"
119-90-4,"3,3&#39;-DIMETHOXYBENZIDINE",13;28,"Amines, Aromatic;Ethers"
119-93-7,"3,3&#39;-DIMETHYLBENZIDINE",13,"Amines, Aromatic"
1191-41-9,ETHYL LINOLENATE,27;34,"Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters;Hydrocarbons, Aliphatic Unsaturated"
1191-80-6,MERCURY OLEATE,34;42;51;61,"Hydrocarbons, Aliphatic Unsaturated;Metals, Less Reactive;Oxidizing Agents, Weak;Salts, Basic"
1194-65-6,DICHLOBENIL,16;45;68,Aryl Halides;Nitriles;Water and Aqueous Solutions
1197-01-9,P-CYMEN-8-OL,8,Alcohols and Polyols
1199-18-4,6-HYDROXYDOPAMINE,14;55,"Amines, Phosphines, and Pyridines;Phenols and Cresols"
120-12-7,ANTHRACENE,35,"Hydrocarbons, Aromatic"
120-14-9,VERATRALDEHYDE,9;28;35,"Aldehydes;Ethers;Hydrocarbons, Aromatic"
120-22-9,P-NITROSODIETHYLANILINE,13;46,"Amines, Aromatic;Nitro, Nitroso, Nitrate, and Nitrite Compounds, Organic"
120-32-1,ORTHO-BENZYL-PARA-CHLOROPHENOL,16;55,Aryl Halides;Phenols and Cresols
120-36-5,"2,4-DP",2;16;28;31,"Acids, Carboxylic;Aryl Halides;Ethers;Halogenated Organic Compounds"
120-37-6,3-ETHYLAMINO-4-METHYLPHENOL,14;55,"Amines, Phosphines, and Pyridines;Phenols and Cresols"
120-40-1,LAURIC ACID DIETHANOLAMINE CONDENSATE (1/1),8;12,Alcohols and Polyols;Amides and Imides
120-57-0,PIPERONAL,1;9,"Acetals, Ketals, Hemiacetals, and Hemiketals;Aldehydes"
120-58-1,ISOSAFROLE,1;27;34,"Acetals, Ketals, Hemiacetals, and Hemiketals;Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters;Hydrocarbons, Aliphatic Unsaturated"
120-61-6,DIMETHYL TEREPHTHALATE,27,"Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters"
120-62-7,PIPERONYL SULFOXIDE,1;66,"Acetals, Ketals, Hemiacetals, and Hemiketals;Sulfonates, Phosphonates, and Thiophosphonates, Organic"
120-66-1,O-ACETOTOLUIDIDE,12;13,"Amides and Imides;Amines, Aromatic"
120-71-8,P-CRESIDINE,13;28,"Amines, Aromatic;Ethers"
120-78-5,"2,2&#39;-DITHIOBISBENZOTHIAZOLE",14;64,"Amines, Phosphines, and Pyridines;Sulfides, Organic"
120-80-9,CATECHOL,55,Phenols and Cresols
120-83-2,"2,4-DICHLOROPHENOL",5;16;55,"Acids, Weak;Aryl Halides;Phenols and Cresols"
12001-26-2,MICA (CONTAINING LESS THAN 1% QUARTZ),47,Non-Redox-Active Inorganic Compounds
12001-28-4,"ASBESTOS, [BLUE]",48,Not Chemically Reactive
12001-29-5,"ASBESTOS, WHITE",48,Not Chemically Reactive
12002-03-8,COPPER ACETOARSENITE,47,Non-Redox-Active Inorganic Compounds
12002-19-6,MERCURY NUCLEATE,61,"Salts, Basic"
12002-43-6,GILSONITE,33;35,"Hydrocarbons, Aliphatic Saturated;Hydrocarbons, Aromatic"
12002-48-1,"TRICHLOROBENZENES, LIQUID",16,Aryl Halides
12003-41-7,ALUMINUM FERROSILICON POWDER,41,"Metals, Elemental and Powder, Active"
12007-89-5,AMMONIUM PENTABORATE,61,"Salts, Basic"
12024-21-4,GALLIUM OXIDE,47,Non-Redox-Active Inorganic Compounds
12027-06-4,AMMONIUM IODIDE,60,"Salts, Acidic"
12027-67-7,AMMONIUM MOLYBDATE,60,"Salts, Acidic"
12030-88-5,POTASSIUM SUPEROXIDE,18;50,"Bases, Strong;Oxidizing Agents, Strong"
12031-80-0,LITHIUM PEROXIDE,18;50,"Bases, Strong;Oxidizing Agents, Strong"
12034-12-7,SODIUM SUPEROXIDE,18;50,"Bases, Strong;Oxidizing Agents, Strong"
12035-72-2,NICKEL SUBSULFIDE,63,"Sulfides, Inorganic"
12036-71-4,URANIUM PEROXIDE,50,"Oxidizing Agents, Strong"
12037-82-0,"PHOSPHORUS HEPTASULFIDE, FREE FROM YELLOW AND WHITE PHOSPHORUS",63,"Sulfides, Inorganic"
12039-13-3,TITANIUM DISULFIDE,63,"Sulfides, Inorganic"
12039-52-0,"SELENIOUS ACID, DITHALLIUM(1+) SALT",61,"Salts, Basic"
12057-74-8,MAGNESIUM PHOSPHIDE,44,"Nitrides, Phosphides, Carbides, and Silicides"
12058-85-4,SODIUM PHOSPHIDE,44,"Nitrides, Phosphides, Carbides, and Silicides"
12075-68-2,ETHYL ALUMINUM SESQUICHLORIDE,39,"Metal Hydrides, Metal Alkyls, Metal Aryls, and Silanes"
12079-65-1,MANGANESE CYCLOPENTADIENYL TRICARBONYL,49,Organometallics
1208-52-2,"2,4&#39;-DIAMINODIPHENYLMETHANE",13,"Amines, Aromatic"
12083-48-6,BIS(CYCLOPENTADIENYL)VANADIUM DICHLORIDE,49,Organometallics
121-14-2,"DINITROTOLUENES, MOLTEN",46,"Nitro, Nitroso, Nitrate, and Nitrite Compounds, Organic"
121-17-5,3-NITRO-4-CHLOROBENZOTRIFLUORIDE,16;30;46,"Aryl Halides;Fluorinated Organic Compounds;Nitro, Nitroso, Nitrate, and Nitrite Compounds, Organic"
121-19-7,4-HYDROXY-3-NITROPHENYL ARSONIC ACID,5;46;55,"Acids, Weak;Nitro, Nitroso, Nitrate, and Nitrite Compounds, Organic;Phenols and Cresols"
121-32-4,ETHYL VANILLIN,9;28;55,Aldehydes;Ethers;Phenols and Cresols
121-33-5,VANILLIN,9;28;55,Aldehydes;Ethers;Phenols and Cresols
121-39-1,ETHYL-3-PHENYLGLYCIDATE,26;27;56,"Epoxides;Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters;Polymerizable Compounds"
121-46-0,"2,5-NORBORNADIENE, STABILIZED",34;56,"Hydrocarbons, Aliphatic Unsaturated;Polymerizable Compounds"
121-47-1,3-AMINOBENZENE SULFONIC ACID,5;14,"Acids, Weak;Amines, Phosphines, and Pyridines"
121-54-0,BENZETHONIUM CHLORIDE,28;35;47;57,"Ethers;Hydrocarbons, Aromatic;Non-Redox-Active Inorganic Compounds;Quaternary Ammonium and Phosphonium Salts"
121-57-3,4-AMINOBENZENE SULFONIC ACID,5;14,"Acids, Weak;Amines, Phosphines, and Pyridines"
121-59-5,CARBARSONE,12;60,"Amides and Imides;Salts, Acidic"
121-66-4,2-AMINO-5-NITROTHIAZOLE,14;46;64,"Amines, Phosphines, and Pyridines;Nitro, Nitroso, Nitrate, and Nitrite Compounds, Organic;Sulfides, Organic"
121-72-2,"N,N-DIMETHYL-M-TOLUIDINE",13,"Amines, Aromatic"
121-73-3,3-CHLORONITROBENZENE,16;46,"Aryl Halides;Nitro, Nitroso, Nitrate, and Nitrite Compounds, Organic"
121-75-5,MALATHION,27,"Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters"
121-79-9,PROPYL GALLATE,27;55,"Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters;Phenols and Cresols"
121-82-4,"CYCLOTRIMETHYLENE TRINITRAMINE, [DESENSITIZED]",17;46,"Azo, Diazo, Azido, Hydrazine, and Azide Compounds;Nitro, Nitroso, Nitrate, and Nitrite Compounds, Organic"
121-87-9,2-CHLORO-4-NITROANILINE,13;16;46,"Amines, Aromatic;Aryl Halides;Nitro, Nitroso, Nitrate, and Nitrite Compounds, Organic"
121-88-0,2-AMINO-5-NITROPHENOL,13;46;55,"Amines, Aromatic;Nitro, Nitroso, Nitrate, and Nitrite Compounds, Organic;Phenols and Cresols"
121-89-1,3-NITROACETOPHENONE,38;46,"Ketones;Nitro, Nitroso, Nitrate, and Nitrite Compounds, Organic"
121-90-4,M-NITROBENZOYL CHLORIDE,7;46,"Acyl Halides, Sulfonyl Halides, and Chloroformates;Nitro, Nitroso, Nitrate, and Nitrite Compounds, Organic"
121-91-5,ISOPHTHALIC ACID,2;35,"Acids, Carboxylic;Hydrocarbons, Aromatic"
121-92-6,M-NITROBENZOIC ACID,2;46,"Acids, Carboxylic;Nitro, Nitroso, Nitrate, and Nitrite Compounds, Organic"
12108-13-3,METHYLCYCLOPENTADIENYLMANGANESE TRICARBONYL,49,Organometallics
1212-29-9,"N,N&#39;-DICYCLOHEXYLTHIOUREA",12,Amides and Imides
12122-67-7,ZINEB,67,Thiocarbamate Esters and Salts/Dithiocarbamate Esters and Salts
12124-97-9,AMMONIUM BROMIDE,60,"Salts, Acidic"
12124-99-1,"AMMONIUM HYDROSULFIDE, SOLUTION",18;19;63;68,"Bases, Strong;Bases, Weak;Sulfides, Inorganic;Water and Aqueous Solutions"
12125-01-8,AMMONIUM FLUORIDE,29;60,"Fluoride Salts, Soluble;Salts, Acidic"
12125-02-9,AMMONIUM CHLORIDE,60,"Salts, Acidic"
12136-45-7,POTASSIUM MONOXIDE,18,"Bases, Strong"
12165-69-4,"PHOSPHORUS TRISULFIDE, FREE FROM YELLOW AND WHITE PHOSPHORUS",63,"Sulfides, Inorganic"
12167-20-3,NITROCRESOLS,46;55,"Nitro, Nitroso, Nitrate, and Nitrite Compounds, Organic;Phenols and Cresols"
12184-88-2,"METAL HYDRIDES, WATER-REACTIVE, N.O.S.",39,"Metal Hydrides, Metal Alkyls, Metal Aryls, and Silanes"
122-04-3,P-NITROBENZOYL CHLORIDE,7;46,"Acyl Halides, Sulfonyl Halides, and Chloroformates;Nitro, Nitroso, Nitrate, and Nitrite Compounds, Organic"
122-09-8,"BENZENEETHANAMINE, ALPHA,ALPHA-DIMETHYL-",14,"Amines, Phosphines, and Pyridines"
122-14-5,FENITROTHION,27;46,"Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters;Nitro, Nitroso, Nitrate, and Nitrite Compounds, Organic"
122-19-0,BENZYLDIMETHYLOCTADECYLAMMONIUM CHLORIDE,47;57,Non-Redox-Active Inorganic Compounds;Quaternary Ammonium and Phosphonium Salts
122-20-3,TRIISOPROPANOLAMINE,8;14,"Alcohols and Polyols;Amines, Phosphines, and Pyridines"
122-34-9,SIMAZINE,14;16,"Amines, Phosphines, and Pyridines;Aryl Halides"
122-39-4,DIPHENYLAMINE,13,"Amines, Aromatic"
122-42-9,PROPHAM,20,Carbamates
122-51-0,ETHYL ORTHOFORMATE,28,Ethers
122-59-8,PHENOXYACETIC ACID,2;28,"Acids, Carboxylic;Ethers"
122-60-1,PHENYL GLYCIDYL ETHER,26;28,Epoxides;Ethers
122-62-3,BIS(2-ETHYLHEXYL) SEBACATE,27,"Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters"
122-66-7,"1,2-DIPHENYLHYDRAZINE",17;35;58,"Azo, Diazo, Azido, Hydrazine, and Azide Compounds;Hydrocarbons, Aromatic;Reducing Agents, Strong"
122-79-2,PHENOL ACETATE,27,"Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters"
122-80-5,P-AMINOACETANILIDE,12;13,"Amides and Imides;Amines, Aromatic"
122-99-6,ETHYLENE GLYCOL PHENYL ETHER,8;28;35,"Alcohols and Polyols;Ethers;Hydrocarbons, Aromatic"
12224-98-5,C.I. PIGMENT RED 81,14;27;61,"Amines, Phosphines, and Pyridines;Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters;Salts, Basic"
12225-21-7,C.I. PIGMENT YELLOW 100,12;17;27;61;66,"Amides and Imides;Azo, Diazo, Azido, Hydrazine, and Azide Compounds;Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters;Salts, Basic;Sulfonates, Phosphonates, and Thiophosphonates, Organic"
12262-58-7,"CYCLOHEXANONE PEROXIDE, NOT MORE THAN 72% IN SOLUTION",1;8;53,"Acetals, Ketals, Hemiacetals, and Hemiketals;Alcohols and Polyols;Peroxides, Organic"
1229-35-2,METHDILAZINE HYDROCHLORIDE,14;60;64,"Amines, Phosphines, and Pyridines;Salts, Acidic;Sulfides, Organic"
123-00-2,N-AMINOPROPYLMORPHOLINE,14;28,"Amines, Phosphines, and Pyridines;Ethers"
123-01-3,DODECYLBENZENE,33;35,"Hydrocarbons, Aliphatic Saturated;Hydrocarbons, Aromatic"
123-02-4,TRIDECYLBENZENE,35,"Hydrocarbons, Aromatic"
123-15-9,ALPHA-METHYLVALERALDEHYDE,9,Aldehydes
