CAS_Number,Chemical_Name,Reactive_Group_IDs,Reactive_Groups
1064-48-8,C.I. ACID BLACK 1,17;46;61,"Azo, Diazo, Azido, Hydrazine, and Azide Compounds;Nitro, Nitroso, Nitrate, and Nitrite Compounds, Organic;Salts, Basic"
1066-30-4,CHROMIC ACETATE,61,"Salts, Basic"
1066-33-7,AMMONIUM BICARBONATE,21;61,"Carbonate Salts;Salts, Basic"
1066-45-1,TRIMETHYLTIN CHLORIDE,49;60,"Organometallics;Salts, Acidic"
1067-14-7,TRIETHYL LEAD CHLORIDE,49,Organometallics
1067-33-0,DIBUTYLTIN DIACETATE,49;61,"Organometallics;Salts, Basic"
1068-27-5,"2,5-DIMETHYL-2,5-BIS(TERT-BUTYLPEROXY)-3-HEXYNE",11;34;53,"Alkynes, with No Acetylenic Hydrogen;Hydrocarbons, Aliphatic Unsaturated;Peroxides, Organic"
107-04-0,1-CHLORO-2-BROMOETHANE,31,Halogenated Organic Compounds
107-20-0,2-CHLOROETHANAL,9;31;56,Aldehydes;Halogenated Organic Compounds;Polymerizable Compounds
107-21-1,ETHYLENE GLYCOL,8,Alcohols and Polyols
107-27-7,ETHYL MERCURY CHLORIDE,49,Organometallics
107-29-9,ACETALDEHYDE OXIME,52,Oximes
107-35-7,L-TAURINE,5;14,"Acids, Weak;Amines, Phosphines, and Pyridines"
107-41-5,HEXYLENE GLYCOL,8,Alcohols and Polyols
107-49-3,TETRAETHYL PYROPHOSPHATE,15;27,"Anhydrides;Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters"
107-68-6,N-METHYLTAURINE,5;14,"Acids, Weak;Amines, Phosphines, and Pyridines"
107-70-0,4-METHOXY-4-METHYLPENTAN-2-ONE,28;38,Ethers;Ketones
107-71-1,TERT-BUTYL PEROXYACETATE,53,"Peroxides, Organic"
107-81-3,2-BROMOPENTANE,31,Halogenated Organic Compounds
107-94-8,3-CHLOROPROPIONIC ACID,2;31,"Acids, Carboxylic;Halogenated Organic Compounds"
107-97-1,SARCOSINE,2;12,"Acids, Carboxylic;Amides and Imides"
1071-83-6,GLYPHOSATE,2;14;66,"Acids, Carboxylic;Amines, Phosphines, and Pyridines;Sulfonates, Phosphonates, and Thiophosphonates, Organic"
1072-52-2,1-AZIRIDINE ETHANOL,8;14;26,"Alcohols and Polyols;Amines, Phosphines, and Pyridines;Epoxides"
108-02-1,"2-(N,N-DIMETHYLAMINO)ETHANETHIOL",14;64,"Amines, Phosphines, and Pyridines;Sulfides, Organic"
108-09-8,"1,3-DIMETHYLBUTYLAMINE",14,"Amines, Phosphines, and Pyridines"
108-29-2,GAMMA-VALEROLACTONE,27,"Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters"
108-30-5,SUCCINIC ANHYDRIDE,15,Anhydrides
108-31-6,MALEIC ANHYDRIDE,15;34,"Anhydrides;Hydrocarbons, Aliphatic Unsaturated"
108-42-9,M-CHLOROANILINE,13;16,"Amines, Aromatic;Aryl Halides"
108-45-2,"1,3-PHENYLENEDIAMINE",13,"Amines, Aromatic"
108-46-3,RESORCINOL,55,Phenols and Cresols
108-60-1,BIS(2-CHLORO-1-METHYLETHYL)ETHER,28;31,Ethers;Halogenated Organic Compounds
108-68-9,"3,5-DIMETHYLPHENOL",55,Phenols and Cresols
108-69-0,"3,5-XYLIDINE",13,"Amines, Aromatic"
108-70-3,"1,3,5-TRICHLOROBENZENE",16,Aryl Halides
108-78-1,MELAMINE,14,"Amines, Phosphines, and Pyridines"
